user_id,name,email,age,registration_date,premium_member
1,Lucia,user1@testmail.com,50,2024-06-24,False
2,Juan,user2@testmail.com,57,2020-11-06,True
3,Maria,user3@testmail.com,33,2019-06-23,True
4,Carlos,user4@mailservice.com,28,2022-06-23,True
5,Carlos,user5@testmail.com,37,2021-06-05,False
6,Luis,user6@mailservice.com,50,2023-12-05,False
7,Miguel,user7@mailservice.com,22,2019-06-24,False
8,Miguel,user8@testmail.com,33,2015-06-08,False
9,Miguel,user9@example.com,55,2018-05-26,True
10,Sofia,user10@mailservice.com,61,2020-06-08,False
11,Carmen,user11@example.com,25,2023-10-17,True
12,Pedro,user12@mailservice.com,69,2016-08-23,False
13,Carmen,user13@example.com,27,2019-09-06,False
14,Ana,user14@mailservice.com,66,2023-05-18,False
15,Pedro,user15@mailservice.com,35,2017-07-31,False
16,Carmen,user16@example.com,28,2016-01-15,False
17,Luis,user17@testmail.com,36,2016-03-16,False
18,Lucia,user18@example.com,39,2015-03-26,False
19,Miguel,user19@mailservice.com,57,2022-06-04,True
20,Juan,user20@example.com,46,2024-10-15,False
21,Lucia,user21@mailservice.com,35,2024-12-01,False
22,Maria,user22@mailservice.com,59,2018-04-12,False
23,Maria,user23@mailservice.com,53,2021-01-10,False
24,Juan,user24@testmail.com,36,2018-05-29,True
25,Lucia,user25@testmail.com,39,2016-11-03,False
26,Carmen,user26@example.com,28,2024-09-13,True
27,Pedro,user27@example.com,36,2022-07-08,True
28,Maria,user28@testmail.com,36,2015-01-11,False
29,Luis,user29@testmail.com,48,2024-12-06,True
30,Maria,user30@example.com,24,2017-03-03,False
31,Ana,user31@example.com,34,2023-09-26,False
32,Ana,user32@testmail.com,31,2023-05-06,False
33,Luis,user33@testmail.com,38,2019-05-24,True
34,Juan,user34@example.com,18,2015-08-07,True
35,Lucia,user35@mailservice.com,28,2017-01-22,False
36,Carlos,user36@testmail.com,31,2023-07-05,False
37,Lucia,user37@example.com,56,2020-10-23,False
38,Carmen,user38@testmail.com,34,2021-06-26,False
39,Lucia,user39@testmail.com,44,2023-02-20,True
40,Carlos,user40@example.com,32,2016-11-19,True
41,Maria,user41@testmail.com,49,2020-09-15,True
42,Luis,user42@testmail.com,23,2020-01-31,True
43,Miguel,user43@example.com,65,2017-01-17,True
44,Lucia,user44@example.com,23,2024-12-01,True
45,Maria,user45@testmail.com,53,2024-06-19,False
46,Miguel,user46@testmail.com,19,2022-12-07,False
47,Juan,user47@mailservice.com,43,2021-10-13,False
48,Ana,user48@testmail.com,70,2018-07-09,True
49,Pedro,user49@testmail.com,66,2022-05-04,True
50,Luis,user50@mailservice.com,37,2019-03-28,False
51,Ana,user51@example.com,69,2024-12-20,False
52,Luis,user52@mailservice.com,52,2022-12-02,False
53,Ana,user53@mailservice.com,20,2020-03-23,False
54,Ana,user54@example.com,60,2021-09-13,True
55,Maria,user55@example.com,61,2018-01-05,True
56,Luis,user56@mailservice.com,44,2017-12-05,True
57,Maria,user57@example.com,29,2021-02-03,False
58,Lucia,user58@testmail.com,41,2021-11-16,True
59,Miguel,user59@example.com,67,2023-11-14,False
60,Carmen,user60@example.com,45,2017-01-07,False
61,Juan,user61@mailservice.com,66,2019-11-18,True
62,Lucia,user62@mailservice.com,61,2018-01-26,False
63,Carlos,user63@mailservice.com,56,2019-07-29,True
64,Carmen,user64@mailservice.com,55,2021-05-05,True
65,Lucia,user65@example.com,53,2017-05-18,False
66,Ana,user66@testmail.com,24,2015-01-07,False
67,Carmen,user67@example.com,56,2016-02-18,True
68,Maria,user68@mailservice.com,60,2020-07-08,False
69,Carlos,user69@mailservice.com,22,2015-08-18,True
70,Miguel,user70@example.com,58,2023-07-30,False
71,Lucia,user71@testmail.com,67,2018-02-25,True
72,Miguel,user72@testmail.com,25,2017-12-28,False
73,Miguel,user73@testmail.com,61,2023-08-25,False
74,Pedro,user74@example.com,31,2016-06-26,True
75,Maria,user75@mailservice.com,68,2024-10-05,True
76,Lucia,user76@testmail.com,26,2022-06-07,False
77,Miguel,user77@example.com,42,2018-05-07,False
78,Miguel,user78@mailservice.com,64,2020-01-09,False
79,Juan,user79@mailservice.com,28,2017-12-07,True
80,Lucia,user80@testmail.com,52,2023-07-27,False
81,Maria,user81@testmail.com,65,2020-07-29,True
82,Carmen,user82@testmail.com,60,2020-10-10,False
83,Carlos,user83@mailservice.com,38,2022-08-16,True
84,Pedro,user84@testmail.com,63,2021-05-20,True
85,Carlos,user85@example.com,35,2017-06-26,False
86,Ana,user86@mailservice.com,45,2021-04-05,False
87,Miguel,user87@mailservice.com,39,2020-12-01,True
88,Pedro,user88@testmail.com,52,2016-08-12,True
89,Sofia,user89@testmail.com,39,2018-08-01,True
90,Miguel,user90@testmail.com,42,2021-07-03,True
91,Maria,user91@testmail.com,47,2021-04-23,True
92,Sofia,user92@example.com,30,2021-01-05,True
93,Luis,user93@mailservice.com,29,2024-02-16,True
94,Pedro,user94@testmail.com,39,2016-02-21,False
95,Maria,user95@example.com,20,2018-08-10,False
96,Lucia,user96@testmail.com,69,2024-11-30,True
97,Miguel,user97@testmail.com,29,2016-09-24,True
98,Maria,user98@mailservice.com,52,2024-09-30,False
99,Carlos,user99@testmail.com,69,2015-11-14,False
100,Luis,user100@testmail.com,55,2024-08-15,True
101,Carlos,user101@example.com,51,2021-02-25,True
102,Ana,user102@mailservice.com,22,2023-05-29,False
103,Maria,user103@testmail.com,43,2016-04-23,False
104,Carmen,user104@testmail.com,61,2020-01-31,False
105,Luis,user105@testmail.com,44,2016-05-06,False
106,Sofia,user106@example.com,42,2024-10-18,False
107,Pedro,user107@example.com,49,2016-12-27,False
108,Sofia,user108@mailservice.com,49,2017-02-10,True
109,Maria,user109@mailservice.com,53,2022-02-13,True
110,Sofia,user110@mailservice.com,69,2018-05-09,False
111,Juan,user111@testmail.com,29,2022-12-03,True
112,Juan,user112@mailservice.com,59,2023-10-14,False
113,Ana,user113@testmail.com,34,2018-03-14,True
114,Maria,user114@testmail.com,26,2024-04-19,False
115,Lucia,user115@example.com,59,2023-11-30,False
116,Carlos,user116@example.com,44,2016-06-07,False
117,Ana,user117@mailservice.com,70,2023-09-05,True
118,Ana,user118@mailservice.com,41,2016-01-29,True
119,Maria,user119@mailservice.com,51,2022-03-12,False
120,Luis,user120@mailservice.com,70,2019-09-10,True
121,Miguel,user121@example.com,63,2018-08-05,True
122,Maria,user122@example.com,19,2019-04-13,True
123,Luis,user123@example.com,37,2024-11-17,True
124,Lucia,user124@example.com,42,2023-02-28,True
